aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
42.0,62.6,2023-12-31:16,5.0,26.7,15.3,10.0,12.0,2023-12-31T23:00:00,2023-12-31T16:00:00,1704038400
42.0,61.3,2023-12-31:15,5.0,28.0,15.0,10.0,14.0,2023-12-31T22:00:00,2023-12-31T15:00:00,1704034800
39.0,57.2,2023-12-31:14,4.7,30.7,14.3,9.33,13.0,2023-12-31T21:00:00,2023-12-31T14:00:00,1704031200
36.0,53.1,2023-12-31:13,4.3,33.3,13.7,8.67,12.0,2023-12-31T20:00:00,2023-12-31T13:00:00,1704027600
33.0,49.0,2023-12-31:12,4.0,36.0,13.0,8.0,11.0,2023-12-31T19:00:00,2023-12-31T12:00:00,1704024000
69.0,49.0,2023-12-31:11,3.0,43.0,26.3,21.0,10.7,2023-12-31T18:00:00,2023-12-31T11:00:00,1704020400
69.0,49.0,2023-12-31:10,2.0,50.0,26.3,21.0,10.3,2023-12-31T17:00:00,2023-12-31T10:00:00,1704016800
65.0,49.0,2023-12-31:09,1.0,57.0,23.8,19.0,10.0,2023-12-31T16:00:00,2023-12-31T09:00:00,1704013200
62.0,56.8,2023-12-31:08,1.0,70.3,22.8,17.33,12.0,2023-12-31T15:00:00,2023-12-31T08:00:00,1704009600
58.0,64.6,2023-12-31:07,1.0,83.7,21.9,15.67,14.0,2023-12-31T14:00:00,2023-12-31T07:00:00,1704006000
54.0,72.4,2023-12-31:06,1.0,97.0,21.0,14.0,16.0,2023-12-31T13:00:00,2023-12-31T06:00:00,1704002400
60.0,78.8,2023-12-31:05,1.3,99.3,25.0,16.67,29.0,2023-12-31T12:00:00,2023-12-31T05:00:00,1703998800
66.0,85.2,2023-12-31:04,1.7000000000000002,101.7,29.0,19.33,42.0,2023-12-31T11:00:00,2023-12-31T04:00:00,1703995200
72.0,91.6,2023-12-31:03,2.0,104.0,33.0,22.0,55.0,2023-12-31T10:00:00,2023-12-31T03:00:00,1703991600
80.0,119.4,2023-12-31:02,4.3,87.0,38.7,26.0,61.7,2023-12-31T09:00:00,2023-12-31T02:00:00,1703988000
89.0,147.3,2023-12-31:01,6.7,70.0,44.3,30.0,68.3,2023-12-31T08:00:00,2023-12-31T01:00:00,1703984400
98.0,175.1,2023-12-31:00,9.0,53.0,50.0,34.0,75.0,2023-12-31T07:00:00,2023-12-31T00:00:00,1703980800
90.0,157.6,2023-12-30:23,8.0,47.7,44.7,30.33,58.7,2023-12-31T06:00:00,2023-12-30T23:00:00,1703977200
82.0,140.1,2023-12-30:22,7.0,42.3,39.3,26.67,42.3,2023-12-31T05:00:00,2023-12-30T22:00:00,1703973600
74.0,122.6,2023-12-30:21,6.0,37.0,34.0,23.0,26.0,2023-12-31T04:00:00,2023-12-30T21:00:00,1703970000
80.0,132.5,2023-12-30:20,7.3,37.0,37.7,25.67,37.7,2023-12-31T03:00:00,2023-12-30T20:00:00,1703966400
85.0,142.4,2023-12-30:19,8.7,37.0,41.3,28.33,49.3,2023-12-31T02:00:00,2023-12-30T19:00:00,1703962800
91.0,152.3,2023-12-30:18,10.0,37.0,45.0,31.0,61.0,2023-12-31T01:00:00,2023-12-30T18:00:00,1703959200
95.0,151.9,2023-12-30:17,10.3,43.0,47.7,32.67,67.7,2023-12-31T00:00:00,2023-12-30T17:00:00,1703955600
98.0,151.5,2023-12-30:16,10.7,49.0,50.3,34.33,74.3,2023-12-30T23:00:00,2023-12-30T16:00:00,1703952000
102.0,151.2,2023-12-30:15,11.0,55.0,53.0,36.0,81.0,2023-12-30T22:00:00,2023-12-30T15:00:00,1703948400
94.0,132.1,2023-12-30:14,9.7,56.0,47.3,32.33,68.3,2023-12-30T21:00:00,2023-12-30T14:00:00,1703944800
86.0,113.0,2023-12-30:13,8.3,57.0,41.7,28.67,55.7,2023-12-30T20:00:00,2023-12-30T13:00:00,1703941200
78.0,94.0,2023-12-30:12,7.0,58.0,36.0,25.0,43.0,2023-12-30T19:00:00,2023-12-30T12:00:00,1703937600
72.0,80.3,2023-12-30:11,5.3,59.7,32.0,22.0,36.7,2023-12-30T18:00:00,2023-12-30T11:00:00,1703934000
65.0,66.7,2023-12-30:10,3.7,61.3,28.0,19.0,30.3,2023-12-30T17:00:00,2023-12-30T10:00:00,1703930400
59.0,53.1,2023-12-30:09,2.0,63.0,24.0,16.0,24.0,2023-12-30T16:00:00,2023-12-30T09:00:00,1703926800
61.0,57.4,2023-12-30:08,2.0,78.7,25.3,17.0,31.3,2023-12-30T15:00:00,2023-12-30T08:00:00,1703923200
63.0,61.7,2023-12-30:07,2.0,94.3,26.7,18.0,38.7,2023-12-30T14:00:00,2023-12-30T07:00:00,1703919600
65.0,65.9,2023-12-30:06,2.0,110.0,28.0,19.0,46.0,2023-12-30T13:00:00,2023-12-30T06:00:00,1703916000
67.0,72.9,2023-12-30:05,3.3,108.7,29.0,19.67,60.7,2023-12-30T12:00:00,2023-12-30T05:00:00,1703912400
68.0,80.0,2023-12-30:04,4.7,107.3,30.0,20.33,75.3,2023-12-30T11:00:00,2023-12-30T04:00:00,1703908800
69.0,87.0,2023-12-30:03,6.0,106.0,31.0,21.0,90.0,2023-12-30T10:00:00,2023-12-30T03:00:00,1703905200
74.0,101.0,2023-12-30:02,7.0,91.0,34.0,23.0,89.3,2023-12-30T09:00:00,2023-12-30T02:00:00,1703901600
78.0,115.0,2023-12-30:01,8.0,76.0,37.0,25.0,88.7,2023-12-30T08:00:00,2023-12-30T01:00:00,1703898000
82.0,129.0,2023-12-30:00,9.0,61.0,40.0,27.0,88.0,2023-12-30T07:00:00,2023-12-30T00:00:00,1703894400
83.0,124.9,2023-12-29:23,8.3,64.7,40.3,27.33,93.3,2023-12-30T06:00:00,2023-12-29T23:00:00,1703890800
84.0,120.8,2023-12-29:22,7.7,68.3,40.7,27.67,98.7,2023-12-30T05:00:00,2023-12-29T22:00:00,1703887200
85.0,116.7,2023-12-29:21,7.0,72.0,41.0,28.0,104.0,2023-12-30T04:00:00,2023-12-29T21:00:00,1703883600
85.0,120.4,2023-12-29:20,7.3,75.7,41.3,28.0,107.0,2023-12-30T03:00:00,2023-12-29T20:00:00,1703880000
85.0,124.1,2023-12-29:19,7.7,79.3,41.7,28.0,110.0,2023-12-30T02:00:00,2023-12-29T19:00:00,1703876400
85.0,127.8,2023-12-29:18,8.0,83.0,42.0,28.0,113.0,2023-12-30T01:00:00,2023-12-29T18:00:00,1703872800
87.0,131.3,2023-12-29:17,8.3,93.3,44.3,29.33,118.0,2023-12-30T00:00:00,2023-12-29T17:00:00,1703869200
90.0,134.8,2023-12-29:16,8.7,103.7,46.7,30.67,123.0,2023-12-29T23:00:00,2023-12-29T16:00:00,1703865600
93.0,138.3,2023-12-29:15,9.0,114.0,49.0,32.0,128.0,2023-12-29T22:00:00,2023-12-29T15:00:00,1703862000
121.0,124.3,2023-12-29:14,8.3,116.3,53.8,43.0,119.3,2023-12-29T21:00:00,2023-12-29T14:00:00,1703858400
95.0,110.3,2023-12-29:13,7.7,118.7,41.3,33.0,110.7,2023-12-29T20:00:00,2023-12-29T13:00:00,1703854800
95.0,96.3,2023-12-29:12,7.0,121.0,51.0,33.0,102.0,2023-12-29T19:00:00,2023-12-29T12:00:00,1703851200
98.0,86.0,2023-12-29:11,5.7,119.0,52.0,34.33,88.3,2023-12-29T18:00:00,2023-12-29T11:00:00,1703847600
101.0,75.7,2023-12-29:10,4.3,117.0,53.0,35.67,74.7,2023-12-29T17:00:00,2023-12-29T10:00:00,1703844000
104.0,65.4,2023-12-29:09,3.0,115.0,54.0,37.0,61.0,2023-12-29T16:00:00,2023-12-29T09:00:00,1703840400
98.0,68.5,2023-12-29:08,3.0,116.3,50.0,34.0,65.7,2023-12-29T15:00:00,2023-12-29T08:00:00,1703836800
91.0,71.6,2023-12-29:07,3.0,117.7,46.0,31.0,70.3,2023-12-29T14:00:00,2023-12-29T07:00:00,1703833200
85.0,74.7,2023-12-29:06,3.0,119.0,42.0,28.0,75.0,2023-12-29T13:00:00,2023-12-29T06:00:00,1703829600
81.0,82.3,2023-12-29:05,4.0,115.7,39.7,26.33,107.0,2023-12-29T12:00:00,2023-12-29T05:00:00,1703826000
77.0,89.9,2023-12-29:04,5.0,112.3,37.3,24.67,139.0,2023-12-29T11:00:00,2023-12-29T04:00:00,1703822400
74.0,97.5,2023-12-29:03,6.0,109.0,35.0,23.0,171.0,2023-12-29T10:00:00,2023-12-29T03:00:00,1703818800
87.0,113.4,2023-12-29:02,7.7,96.0,40.8,29.33,169.7,2023-12-29T09:00:00,2023-12-29T02:00:00,1703815200
155.0,129.4,2023-12-29:01,9.3,83.0,73.8,59.0,168.3,2023-12-29T08:00:00,2023-12-29T01:00:00,1703811600
118.0,145.3,2023-12-29:00,11.0,70.0,52.5,42.0,167.0,2023-12-29T07:00:00,2023-12-29T00:00:00,1703808000
126.0,146.7,2023-12-28:23,11.0,61.7,56.3,45.0,156.7,2023-12-29T06:00:00,2023-12-28T23:00:00,1703804400
134.0,148.0,2023-12-28:22,11.0,53.3,60.0,48.0,146.3,2023-12-29T05:00:00,2023-12-28T22:00:00,1703800800
142.0,149.4,2023-12-28:21,11.0,45.0,63.8,51.0,136.0,2023-12-29T04:00:00,2023-12-28T21:00:00,1703797200
150.0,151.9,2023-12-28:20,11.0,51.0,67.5,54.0,134.7,2023-12-29T03:00:00,2023-12-28T20:00:00,1703793600
152.0,154.5,2023-12-28:19,11.0,57.0,71.3,57.0,133.3,2023-12-29T02:00:00,2023-12-28T19:00:00,1703790000
157.0,157.0,2023-12-28:18,11.0,63.0,76.3,61.0,132.0,2023-12-29T01:00:00,2023-12-28T18:00:00,1703786400
157.0,140.1,2023-12-28:17,10.0,69.0,75.4,60.33,123.7,2023-12-29T00:00:00,2023-12-28T17:00:00,1703782800
156.0,123.1,2023-12-28:16,9.0,75.0,74.6,59.67,115.3,2023-12-28T23:00:00,2023-12-28T16:00:00,1703779200
155.0,106.2,2023-12-28:15,8.0,81.0,73.8,59.0,107.0,2023-12-28T22:00:00,2023-12-28T15:00:00,1703775600
145.0,100.0,2023-12-28:14,7.7,84.0,65.0,52.0,100.0,2023-12-28T21:00:00,2023-12-28T14:00:00,1703772000
145.0,93.8,2023-12-28:13,7.3,87.0,65.0,52.0,93.0,2023-12-28T20:00:00,2023-12-28T13:00:00,1703768400
171.0,87.5,2023-12-28:12,7.0,90.0,88.8,71.0,86.0,2023-12-28T19:00:00,2023-12-28T12:00:00,1703764800
100.0,80.1,2023-12-28:11,6.0,99.7,43.8,35.0,89.3,2023-12-28T18:00:00,2023-12-28T11:00:00,1703761200
97.0,72.8,2023-12-28:10,5.0,109.3,45.6,33.67,92.7,2023-12-28T17:00:00,2023-12-28T10:00:00,1703757600
56.0,65.4,2023-12-28:09,4.0,119.0,24.0,15.0,96.0,2023-12-28T16:00:00,2023-12-28T09:00:00,1703754000
54.0,60.7,2023-12-28:08,3.3,106.7,21.7,13.67,81.0,2023-12-28T15:00:00,2023-12-28T08:00:00,1703750400
51.0,56.0,2023-12-28:07,2.7,94.3,19.3,12.33,66.0,2023-12-28T14:00:00,2023-12-28T07:00:00,1703746800
46.0,51.4,2023-12-28:06,2.0,82.0,17.0,11.0,51.0,2023-12-28T13:00:00,2023-12-28T06:00:00,1703743200
43.0,46.9,2023-12-28:05,1.7000000000000002,67.7,16.3,10.33,37.7,2023-12-28T12:00:00,2023-12-28T05:00:00,1703739600
40.0,42.4,2023-12-28:04,1.3,53.3,15.7,9.67,24.3,2023-12-28T11:00:00,2023-12-28T04:00:00,1703736000
37.0,37.9,2023-12-28:03,1.0,39.0,15.0,9.0,11.0,2023-12-28T10:00:00,2023-12-28T03:00:00,1703732400
39.0,44.7,2023-12-28:02,2.0,32.3,15.0,9.33,12.3,2023-12-28T09:00:00,2023-12-28T02:00:00,1703728800
40.0,51.6,2023-12-28:01,3.0,25.7,15.0,9.67,13.7,2023-12-28T08:00:00,2023-12-28T01:00:00,1703725200
42.0,58.4,2023-12-28:00,4.0,19.0,15.0,10.0,15.0,2023-12-28T07:00:00,2023-12-28T00:00:00,1703721600
50.0,75.9,2023-12-27:23,7.0,16.0,18.0,12.0,35.3,2023-12-28T06:00:00,2023-12-27T23:00:00,1703718000
54.0,93.4,2023-12-27:22,10.0,13.0,21.0,14.0,55.7,2023-12-28T05:00:00,2023-12-27T22:00:00,1703714400
59.0,110.9,2023-12-27:21,13.0,10.0,24.0,16.0,76.0,2023-12-28T04:00:00,2023-12-27T21:00:00,1703710800
57.0,102.3,2023-12-27:20,12.3,10.3,23.3,15.33,69.3,2023-12-28T03:00:00,2023-12-27T20:00:00,1703707200
56.0,93.8,2023-12-27:19,11.7,10.7,22.7,14.67,62.7,2023-12-28T02:00:00,2023-12-27T19:00:00,1703703600
54.0,85.2,2023-12-27:18,11.0,11.0,22.0,14.0,56.0,2023-12-28T01:00:00,2023-12-27T18:00:00,1703700000
57.0,89.1,2023-12-27:17,10.3,11.7,23.7,15.33,47.3,2023-12-28T00:00:00,2023-12-27T17:00:00,1703696400
60.0,93.0,2023-12-27:16,9.7,12.3,25.3,16.67,38.7,2023-12-27T23:00:00,2023-12-27T16:00:00,1703692800
63.0,96.9,2023-12-27:15,9.0,13.0,27.0,18.0,30.0,2023-12-27T22:00:00,2023-12-27T15:00:00,1703689200
58.0,84.4,2023-12-27:14,7.7,14.7,23.7,15.67,23.7,2023-12-27T21:00:00,2023-12-27T14:00:00,1703685600
53.0,72.0,2023-12-27:13,6.3,16.3,20.3,13.33,17.3,2023-12-27T20:00:00,2023-12-27T13:00:00,1703682000
46.0,59.5,2023-12-27:12,5.0,18.0,17.0,11.0,11.0,2023-12-27T19:00:00,2023-12-27T12:00:00,1703678400
46.0,56.0,2023-12-27:11,3.7,34.3,17.0,11.0,10.7,2023-12-27T18:00:00,2023-12-27T11:00:00,1703674800
46.0,52.5,2023-12-27:10,2.3,50.7,17.0,11.0,10.3,2023-12-27T17:00:00,2023-12-27T10:00:00,1703671200
46.0,49.0,2023-12-27:09,1.0,67.0,17.0,11.0,10.0,2023-12-27T16:00:00,2023-12-27T09:00:00,1703667600
43.0,52.1,2023-12-27:08,1.0,74.7,16.0,10.33,16.7,2023-12-27T15:00:00,2023-12-27T08:00:00,1703664000
40.0,55.2,2023-12-27:07,1.0,82.3,15.0,9.67,23.3,2023-12-27T14:00:00,2023-12-27T07:00:00,1703660400
42.0,58.4,2023-12-27:06,1.0,90.0,14.0,9.0,30.0,2023-12-27T13:00:00,2023-12-27T06:00:00,1703656800
40.0,58.9,2023-12-27:05,1.7000000000000002,77.7,14.7,9.67,27.7,2023-12-27T12:00:00,2023-12-27T05:00:00,1703653200
43.0,59.5,2023-12-27:04,2.3,65.3,15.3,10.33,25.3,2023-12-27T11:00:00,2023-12-27T04:00:00,1703649600
46.0,60.1,2023-12-27:03,3.0,53.0,16.0,11.0,23.0,2023-12-27T10:00:00,2023-12-27T03:00:00,1703646000
50.0,71.4,2023-12-27:02,4.7,43.7,17.7,12.0,26.7,2023-12-27T09:00:00,2023-12-27T02:00:00,1703642400
52.0,82.7,2023-12-27:01,6.3,34.3,19.3,13.0,30.3,2023-12-27T08:00:00,2023-12-27T01:00:00,1703638800
54.0,94.0,2023-12-27:00,8.0,25.0,21.0,14.0,34.0,2023-12-27T07:00:00,2023-12-27T00:00:00,1703635200
56.0,94.5,2023-12-26:23,7.0,22.3,22.0,14.67,27.0,2023-12-27T06:00:00,2023-12-26T23:00:00,1703631600
57.0,95.1,2023-12-26:22,6.0,19.7,23.0,15.33,20.0,2023-12-27T05:00:00,2023-12-26T22:00:00,1703628000
59.0,95.7,2023-12-26:21,5.0,17.0,24.0,16.0,13.0,2023-12-27T04:00:00,2023-12-26T21:00:00,1703624400
61.0,90.8,2023-12-26:20,5.3,18.3,25.3,17.0,15.3,2023-12-27T03:00:00,2023-12-26T20:00:00,1703620800
63.0,86.0,2023-12-26:19,5.7,19.7,26.7,18.0,17.7,2023-12-27T02:00:00,2023-12-26T19:00:00,1703617200
65.0,81.1,2023-12-26:18,6.0,21.0,28.0,19.0,20.0,2023-12-27T01:00:00,2023-12-26T18:00:00,1703613600
66.0,80.0,2023-12-26:17,5.7,22.3,28.7,19.33,18.7,2023-12-27T00:00:00,2023-12-26T17:00:00,1703610000
67.0,78.8,2023-12-26:16,5.3,23.7,29.3,19.67,17.3,2023-12-26T23:00:00,2023-12-26T16:00:00,1703606400
67.0,77.6,2023-12-26:15,5.0,25.0,30.0,20.0,16.0,2023-12-26T22:00:00,2023-12-26T15:00:00,1703602800
66.0,69.8,2023-12-26:14,4.3,30.3,29.0,19.33,13.7,2023-12-26T21:00:00,2023-12-26T14:00:00,1703599200
64.0,62.1,2023-12-26:13,3.7,35.7,28.0,18.67,11.3,2023-12-26T20:00:00,2023-12-26T13:00:00,1703595600
63.0,54.3,2023-12-26:12,3.0,41.0,27.0,18.0,9.0,2023-12-26T19:00:00,2023-12-26T12:00:00,1703592000
65.0,56.0,2023-12-26:11,2.7,52.0,23.8,19.0,11.0,2023-12-26T18:00:00,2023-12-26T11:00:00,1703588400
63.0,57.8,2023-12-26:10,2.3,63.0,27.7,18.0,13.0,2023-12-26T17:00:00,2023-12-26T10:00:00,1703584800
63.0,59.5,2023-12-26:09,2.0,74.0,28.0,18.0,15.0,2023-12-26T16:00:00,2023-12-26T09:00:00,1703581200
67.0,58.9,2023-12-26:08,1.7000000000000002,72.7,30.3,19.67,17.7,2023-12-26T15:00:00,2023-12-26T08:00:00,1703577600
70.0,58.4,2023-12-26:07,1.3,71.3,32.7,21.33,20.3,2023-12-26T14:00:00,2023-12-26T07:00:00,1703574000
74.0,57.8,2023-12-26:06,1.0,70.0,35.0,23.0,23.0,2023-12-26T13:00:00,2023-12-26T06:00:00,1703570400
67.0,60.1,2023-12-26:05,1.3,64.7,30.0,20.0,20.0,2023-12-26T12:00:00,2023-12-26T05:00:00,1703566800
61.0,62.4,2023-12-26:04,1.7000000000000002,59.3,25.0,17.0,17.0,2023-12-26T11:00:00,2023-12-26T04:00:00,1703563200
54.0,64.8,2023-12-26:03,2.0,54.0,20.0,14.0,14.0,2023-12-26T10:00:00,2023-12-26T03:00:00,1703559600
54.0,72.4,2023-12-26:02,3.3,47.7,20.0,13.67,15.7,2023-12-26T09:00:00,2023-12-26T02:00:00,1703556000
53.0,80.0,2023-12-26:01,4.7,41.3,20.0,13.33,17.3,2023-12-26T08:00:00,2023-12-26T01:00:00,1703552400
52.0,87.5,2023-12-26:00,6.0,35.0,20.0,13.0,19.0,2023-12-26T07:00:00,2023-12-26T00:00:00,1703548800
54.0,87.2,2023-12-25:23,5.7,33.7,20.7,13.67,17.3,2023-12-26T06:00:00,2023-12-25T23:00:00,1703545200
55.0,86.8,2023-12-25:22,5.3,32.3,21.3,14.33,15.7,2023-12-26T05:00:00,2023-12-25T22:00:00,1703541600
56.0,86.4,2023-12-25:21,5.0,31.0,22.0,15.0,14.0,2023-12-26T04:00:00,2023-12-25T21:00:00,1703538000
59.0,87.9,2023-12-25:20,5.7,32.0,24.3,16.33,20.0,2023-12-26T03:00:00,2023-12-25T20:00:00,1703534400
62.0,89.5,2023-12-25:19,6.3,33.0,26.7,17.67,26.0,2023-12-26T02:00:00,2023-12-25T19:00:00,1703530800
65.0,91.0,2023-12-25:18,7.0,34.0,29.0,19.0,32.0,2023-12-26T01:00:00,2023-12-25T18:00:00,1703527200
69.0,96.3,2023-12-25:17,7.0,29.0,31.0,20.67,26.0,2023-12-26T00:00:00,2023-12-25T17:00:00,1703523600
72.0,101.5,2023-12-25:16,7.0,24.0,33.0,22.33,20.0,2023-12-25T23:00:00,2023-12-25T16:00:00,1703520000
76.0,106.8,2023-12-25:15,7.0,19.0,35.0,24.0,14.0,2023-12-25T22:00:00,2023-12-25T15:00:00,1703516400
72.0,96.5,2023-12-25:14,6.7,20.3,32.7,22.0,12.3,2023-12-25T21:00:00,2023-12-25T14:00:00,1703512800
110.0,86.2,2023-12-25:13,6.3,21.7,48.8,39.0,10.7,2023-12-25T20:00:00,2023-12-25T13:00:00,1703509200
63.0,75.9,2023-12-25:12,6.0,23.0,28.0,18.0,9.0,2023-12-25T19:00:00,2023-12-25T12:00:00,1703505600
56.0,64.0,2023-12-25:11,4.7,27.0,23.3,15.0,8.3,2023-12-25T18:00:00,2023-12-25T11:00:00,1703502000
50.0,52.1,2023-12-25:10,3.3,31.0,18.7,12.0,7.7,2023-12-25T17:00:00,2023-12-25T10:00:00,1703498400
37.0,40.3,2023-12-25:09,2.0,35.0,14.0,9.0,7.0,2023-12-25T16:00:00,2023-12-25T09:00:00,1703494800
49.0,39.1,2023-12-25:08,1.7000000000000002,41.7,18.0,11.67,8.3,2023-12-25T15:00:00,2023-12-25T08:00:00,1703491200
55.0,37.9,2023-12-25:07,1.3,48.3,22.0,14.33,9.7,2023-12-25T14:00:00,2023-12-25T07:00:00,1703487600
61.0,36.8,2023-12-25:06,1.0,55.0,26.0,17.0,11.0,2023-12-25T13:00:00,2023-12-25T06:00:00,1703484000
88.0,38.1,2023-12-25:05,1.3,51.7,40.3,29.67,16.0,2023-12-25T12:00:00,2023-12-25T05:00:00,1703480400
119.0,39.5,2023-12-25:04,1.7000000000000002,48.3,54.5,42.33,21.0,2023-12-25T11:00:00,2023-12-25T04:00:00,1703476800
153.0,40.9,2023-12-25:03,2.0,45.0,68.8,55.0,26.0,2023-12-25T10:00:00,2023-12-25T03:00:00,1703473200
115.0,44.0,2023-12-25:02,3.0,37.7,52.5,41.0,26.0,2023-12-25T09:00:00,2023-12-25T02:00:00,1703469600
82.0,47.1,2023-12-25:01,4.0,30.3,36.3,27.0,26.0,2023-12-25T08:00:00,2023-12-25T01:00:00,1703466000
52.0,50.2,2023-12-25:00,5.0,23.0,20.0,13.0,26.0,2023-12-25T07:00:00,2023-12-25T00:00:00,1703462400
51.0,46.7,2023-12-24:23,4.7,21.0,19.3,12.67,19.0,2023-12-25T06:00:00,2023-12-24T23:00:00,1703458800
51.0,43.2,2023-12-24:22,4.3,19.0,18.7,12.33,12.0,2023-12-25T05:00:00,2023-12-24T22:00:00,1703455200
50.0,39.7,2023-12-24:21,4.0,17.0,18.0,12.0,5.0,2023-12-25T04:00:00,2023-12-24T21:00:00,1703451600
49.0,38.9,2023-12-24:20,3.7,18.0,17.7,11.67,5.7,2023-12-25T03:00:00,2023-12-24T20:00:00,1703448000
47.0,38.1,2023-12-24:19,3.3,19.0,17.3,11.33,6.3,2023-12-25T02:00:00,2023-12-24T19:00:00,1703444400
46.0,37.4,2023-12-24:18,3.0,20.0,17.0,11.0,7.0,2023-12-25T01:00:00,2023-12-24T18:00:00,1703440800
50.0,39.3,2023-12-24:17,3.3,19.3,18.7,12.0,6.0,2023-12-25T00:00:00,2023-12-24T17:00:00,1703437200
52.0,41.2,2023-12-24:16,3.7,18.7,20.3,13.0,5.0,2023-12-24T23:00:00,2023-12-24T16:00:00,1703433600
54.0,43.2,2023-12-24:15,4.0,18.0,22.0,14.0,4.0,2023-12-24T22:00:00,2023-12-24T15:00:00,1703430000
87.0,45.1,2023-12-24:14,3.7,23.0,39.3,29.0,6.3,2023-12-24T21:00:00,2023-12-24T14:00:00,1703426400
123.0,47.1,2023-12-24:13,3.3,28.0,56.5,44.0,8.7,2023-12-24T20:00:00,2023-12-24T13:00:00,1703422800
155.0,49.0,2023-12-24:12,3.0,33.0,73.8,59.0,11.0,2023-12-24T19:00:00,2023-12-24T12:00:00,1703419200
134.0,50.0,2023-12-24:11,2.3,48.7,60.0,48.0,14.0,2023-12-24T18:00:00,2023-12-24T11:00:00,1703415600
129.0,51.0,2023-12-24:10,1.7000000000000002,64.3,57.5,46.0,17.0,2023-12-24T17:00:00,2023-12-24T10:00:00,1703412000
50.0,51.9,2023-12-24:09,1.0,80.0,20.0,12.0,20.0,2023-12-24T16:00:00,2023-12-24T09:00:00,1703408400
47.0,53.3,2023-12-24:08,1.0,83.0,18.7,11.33,24.0,2023-12-24T15:00:00,2023-12-24T08:00:00,1703404800
44.0,54.7,2023-12-24:07,1.0,86.0,17.3,10.67,28.0,2023-12-24T14:00:00,2023-12-24T07:00:00,1703401200
42.0,56.0,2023-12-24:06,1.0,89.0,16.0,10.0,32.0,2023-12-24T13:00:00,2023-12-24T06:00:00,1703397600
42.0,58.4,2023-12-24:05,2.0,81.0,16.0,10.0,40.7,2023-12-24T12:00:00,2023-12-24T05:00:00,1703394000
42.0,60.7,2023-12-24:04,3.0,73.0,16.0,10.0,49.3,2023-12-24T11:00:00,2023-12-24T04:00:00,1703390400
42.0,63.0,2023-12-24:03,4.0,65.0,16.0,10.0,58.0,2023-12-24T10:00:00,2023-12-24T03:00:00,1703386800
42.0,58.4,2023-12-24:02,4.0,51.7,16.0,10.0,47.0,2023-12-24T09:00:00,2023-12-24T02:00:00,1703383200
42.0,53.7,2023-12-24:01,4.0,38.3,16.0,10.0,36.0,2023-12-24T08:00:00,2023-12-24T01:00:00,1703379600
42.0,49.0,2023-12-24:00,4.0,25.0,16.0,10.0,25.0,2023-12-24T07:00:00,2023-12-24T00:00:00,1703376000
40.0,45.9,2023-12-23:23,4.0,24.3,15.7,9.67,20.3,2023-12-24T06:00:00,2023-12-23T23:00:00,1703372400
39.0,42.8,2023-12-23:22,4.0,23.7,15.3,9.33,15.7,2023-12-24T05:00:00,2023-12-23T22:00:00,1703368800
37.0,39.7,2023-12-23:21,4.0,23.0,15.0,9.0,11.0,2023-12-24T04:00:00,2023-12-23T21:00:00,1703365200
37.0,40.7,2023-12-23:20,3.7,23.3,14.7,9.0,10.0,2023-12-24T03:00:00,2023-12-23T20:00:00,1703361600
37.0,41.6,2023-12-23:19,3.3,23.7,14.3,9.0,9.0,2023-12-24T02:00:00,2023-12-23T19:00:00,1703358000
37.0,42.6,2023-12-23:18,3.0,24.0,14.0,9.0,8.0,2023-12-24T01:00:00,2023-12-23T18:00:00,1703354400
59.0,44.0,2023-12-23:17,3.3,24.7,22.3,16.33,8.3,2023-12-24T00:00:00,2023-12-23T17:00:00,1703350800
75.0,45.3,2023-12-23:16,3.7,25.3,30.5,23.67,8.7,2023-12-23T23:00:00,2023-12-23T16:00:00,1703347200
91.0,46.7,2023-12-23:15,4.0,26.0,38.8,31.0,9.0,2023-12-23T22:00:00,2023-12-23T15:00:00,1703343600
123.0,45.3,2023-12-23:14,3.7,27.7,55.0,44.0,9.0,2023-12-23T21:00:00,2023-12-23T14:00:00,1703340000
56.0,44.0,2023-12-23:13,3.3,29.3,20.9,15.0,9.0,2023-12-23T20:00:00,2023-12-23T13:00:00,1703336400
29.0,42.6,2023-12-23:12,3.0,31.0,12.0,7.0,9.0,2023-12-23T19:00:00,2023-12-23T12:00:00,1703332800
29.0,42.4,2023-12-23:11,2.3,38.0,11.7,7.0,7.7,2023-12-23T18:00:00,2023-12-23T11:00:00,1703329200
29.0,42.2,2023-12-23:10,1.7000000000000002,45.0,11.3,7.0,6.3,2023-12-23T17:00:00,2023-12-23T10:00:00,1703325600
29.0,42.0,2023-12-23:09,1.0,52.0,11.0,7.0,5.0,2023-12-23T16:00:00,2023-12-23T09:00:00,1703322000
29.0,44.0,2023-12-23:08,1.0,56.7,11.0,7.0,5.3,2023-12-23T15:00:00,2023-12-23T08:00:00,1703318400
29.0,45.9,2023-12-23:07,1.0,61.3,11.0,7.0,5.7,2023-12-23T14:00:00,2023-12-23T07:00:00,1703314800
31.0,47.9,2023-12-23:06,1.0,66.0,11.0,7.0,6.0,2023-12-23T13:00:00,2023-12-23T06:00:00,1703311200
29.0,48.0,2023-12-23:05,1.0,62.0,10.7,6.67,5.7,2023-12-23T12:00:00,2023-12-23T05:00:00,1703307600
